FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://research.stlouisfed.org/fred2,,,
Help: https://research.stlouisfed.org/fred2/help-faq,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
CPIAUCSL,"Consumer Price Index for All Urban Consumers: All Items, Index 1982-1984=100, Monthly, Seasonally Adjusted",,
2003-10-01,184.900,2.04%,6.0
2003-11-01,185.000,1.93%,5.8
2003-12-01,185.500,2.04%,5.7
2004-01-01,186.300,2.03%,5.7
2004-02-01,186.700,1.69%,5.6
2004-03-01,187.100,1.74%,5.8
2004-04-01,187.400,2.29%,5.6
2004-05-01,188.200,2.90%,5.6
2004-06-01,188.900,3.17%,5.6
2004-07-01,189.100,2.94%,5.5
2004-08-01,189.200,2.55%,5.4
2004-09-01,189.800,2.54%,5.4
2004-10-01,190.800,3.19%,5.5
2004-11-01,191.700,3.62%,5.4
2004-12-01,191.700,3.34%,5.4
2005-01-01,191.600,2.84%,5.3
2005-02-01,192.400,3.05%,5.4
2005-03-01,193.100,3.21%,5.2
2005-04-01,193.700,3.36%,5.2
2005-05-01,193.600,2.87%,5.1
2005-06-01,193.700,2.54%,5.0
2005-07-01,194.900,3.07%,5.0
2005-08-01,196.100,3.65%,4.9
2005-09-01,198.800,4.74%,5.0
2005-10-01,199.100,4.35%,5.0
2005-11-01,198.100,3.34%,5.0
2005-12-01,198.100,3.34%,4.9
2006-01-01,199.300,4.02%,4.7
2006-02-01,199.400,3.64%,4.8
2006-03-01,199.700,3.42%,4.7
2006-04-01,200.700,3.61%,4.7
2006-05-01,201.300,3.98%,4.6
2006-06-01,201.800,4.18%,4.6
2006-07-01,202.900,4.10%,4.7
2006-08-01,203.800,3.93%,4.7
2006-09-01,202.800,2.01%,4.5
2006-10-01,201.900,1.41%,4.4
2006-11-01,202.000,1.97%,4.5
2006-12-01,203.100,2.52%,4.4
2007-01-01,203.437,2.08%,4.6
2007-02-01,204.226,2.42%,4.5
2007-03-01,205.288,2.80%,4.4
2007-04-01,205.904,2.59%,4.5
2007-05-01,206.755,2.71%,4.4
2007-06-01,207.234,2.69%,4.6
2007-07-01,207.603,2.32%,4.7
2007-08-01,207.667,1.90%,4.6
2007-09-01,208.547,2.83%,4.7
2007-10-01,209.190,3.61%,4.7
2007-11-01,210.834,4.37%,4.7
2007-12-01,211.445,4.11%,5.0
2008-01-01,212.174,4.29%,5.0
2008-02-01,212.687,4.14%,4.9
2008-03-01,213.448,3.97%,5.1
2008-04-01,213.942,3.90%,5.0
2008-05-01,215.208,4.09%,5.4
2008-06-01,217.463,4.94%,5.6
2008-07-01,219.016,5.50%,5.8
2008-08-01,218.690,5.31%,6.1
2008-09-01,218.877,4.95%,6.1
2008-10-01,216.995,3.73%,6.5
2008-11-01,213.153,1.10%,6.8
2008-12-01,211.398,-0.02%,7.3
2009-01-01,211.933,-0.11%,7.8
2009-02-01,212.705,0.01%,8.3
2009-03-01,212.495,-0.45%,8.7
2009-04-01,212.709,-0.58%,9.0
2009-05-01,213.022,-1.02%,9.4
2009-06-01,214.790,-1.23%,9.5
2009-07-01,214.726,-1.96%,9.5
2009-08-01,215.445,-1.48%,9.6
2009-09-01,215.861,-1.38%,9.8
2009-10-01,216.509,-0.22%,10.0
2009-11-01,217.234,1.91%,9.9
2009-12-01,217.347,2.81%,9.9
2010-01-01,217.488,2.62%,9.8
2010-02-01,217.281,2.15%,9.8
2010-03-01,217.353,2.29%,9.9
2010-04-01,217.403,2.21%,9.9
2010-05-01,217.290,2.00%,9.6
2010-06-01,217.199,1.12%,9.4
2010-07-01,217.605,1.34%,9.4
2010-08-01,217.923,1.15%,9.5
2010-09-01,218.275,1.12%,9.5
2010-10-01,219.035,1.17%,9.4
2010-11-01,219.590,1.08%,9.8
2010-12-01,220.472,1.44%,9.3
2011-01-01,221.148,1.68%,9.1
2011-02-01,221.904,2.13%,9.0
2011-03-01,223.044,2.62%,9.0
2011-04-01,224.060,3.06%,9.1
2011-05-01,224.869,3.49%,9.0
2011-06-01,224.841,3.52%,9.1
2011-07-01,225.419,3.59%,9.0
2011-08-01,226.082,3.74%,9.0
2011-09-01,226.676,3.85%,9.0
2011-10-01,226.811,3.55%,8.8
2011-11-01,227.157,3.45%,8.6
2011-12-01,227.145,3.03%,8.5
2012-01-01,227.759,2.99%,8.3
2012-02-01,228.285,2.88%,8.3
2012-03-01,228.866,2.61%,8.2
2012-04-01,229.172,2.28%,8.2
2012-05-01,228.785,1.74%,8.2
2012-06-01,228.626,1.68%,8.2
2012-07-01,228.584,1.40%,8.2
2012-08-01,229.911,1.69%,8.1
2012-09-01,231.104,1.95%,7.8
2012-10-01,231.741,2.17%,7.8
2012-11-01,231.202,1.78%,7.7
2012-12-01,231.165,1.77%,7.9
2013-01-01,231.444,1.62%,8.0
2013-02-01,232.803,1.98%,7.7
2013-03-01,232.245,1.48%,7.5
2013-04-01,231.672,1.09%,7.6
2013-05-01,231.990,1.40%,7.5
2013-06-01,232.583,1.73%,7.5
2013-07-01,232.980,1.92%,7.3
2013-08-01,233.413,1.52%,7.3
2013-09-01,233.773,1.15%,7.3
2013-10-01,233.903,0.93%,7.2
2013-11-01,234.038,1.23%,6.9
2013-12-01,234.697,1.53%,6.7
2014-01-01,235.128,1.59%,6.6
2014-02-01,235.356,1.10%,6.7
2014-03-01,235.790,1.53%,6.7
2014-04-01,236.240,1.97%,6.2
2014-05-01,236.950,2.14%,6.2
2014-06-01,237.348,2.05%,6.1
2014-07-01,237.596,1.98%,6.2
2014-08-01,237.409,1.71%,6.2
2014-09-01,237.626,1.65%,6.0
2014-10-01,237.753,1.65%,5.7
2014-11-01,237.067,1.29%,5.8
2014-12-01,236.284,0.68%,5.6
2015-01-01,234.677,-0.19%,5.7
2015-02-01,235.186,-0.07%,5.5
2015-03-01,235.740,-0.02%,5.5
2015-04-01,235.982,-0.11%,5.4
2015-05-01,237.031,0.03%,5.5
2015-06-01,237.786,0.18%,5.3
2015-07-01,238.099,0.21%,5.3
2015-08-01,237.931,0.22%,5.1
2015-09-01,237.566,-0.03%,5.1
2015-10-01,238.042,0.12%,5.0
2015-11-01,238.111,0.44%,5.0
2015-12-01,237.847,0.66%,5.0
